feature,mean_abs_shap
num__nombre_experiences_precedentes,0.3357737931977486
cat__heure_supplementaires_Non,0.29845289277050896
cat__heure_supplementaires_Oui,0.2967891426464843
cat__niveau_hierarchique_poste_2,0.2657037464753457
num__annees_depuis_la_derniere_promotion,0.26191194714377913
num__annees_dans_l_entreprise,0.24297812613564834
num__annees_dans_le_poste_actuel,0.24093193727028356
num__score_moyen_satisfaction,0.23903639516407174
num__augmentation_par_revenu,0.2333866134324963
num__distance_domicile_travail,0.227484057197464
num__satisfaction_employee_environnement,0.22496004876030135
cat__statut_marital_Célibataire,0.21622674472987494
num__annee_experience_totale,0.2106831517932795
num__nb_formations_suivies,0.20448521444408016
num__augementation_salaire_precedente,0.18115035545768893
num__annee_sur_poste_par_experience,0.1688402382475424
cat__frequence_deplacement_Frequent,0.16874194862811476
num__note_evaluation_precedente,0.16691518314478096
cat__domaine_etude_Infra & Cloud,0.15843967219745925
num__satisfaction_employee_nature_travail,0.14949488235531067
cat__statut_marital_Divorcé(e),0.14161176551814691
cat__niveau_hierarchique_poste_1,0.14139297129880266
cat__departement_Commercial,0.1408472530090524
num__revenu_mensuel,0.12822601553635785
num__nombre_participation_pee,0.12585696579657782
cat__departement_Consulting,0.12342154124563534
num__evolution_note,0.12166256217552873
cat__frequence_deplacement_Aucun,0.12136977480428636
cat__niveau_hierarchique_poste_3,0.11392380727372825
cat__poste_Assistant de Direction,0.11090919144166281
cat__poste_Cadre Commercial,0.10714926357953371
num__age,0.10034724522029843
cat__poste_Consultant,0.09672268377948487
cat__domaine_etude_Entrepreunariat,0.08426983159950084
cat__domaine_etude_Transformation Digitale,0.08324763854015832
cat__genre_F,0.07909319347792321
num__nb_formation_par_experience,0.07738436115838122
cat__genre_M,0.07710817328936188
num__satisfaction_employee_equilibre_pro_perso,0.05522067492755355
cat__niveau_hierarchique_poste_4,0.052326439551633006
num__satisfaction_employee_equipe,0.04181120137486559
num__note_evaluation_actuelle,0.03982819999232967
cat__poste_Tech Lead,0.031552729212424926
num__dern_promo_par_experience,0.031096748801843
cat__statut_marital_Marié(e),0.028094551976212703
cat__poste_Senior Manager,0.02697295170359575
cat__poste_Directeur Technique,0.0242309148510955
cat__niveau_hierarchique_poste_5,0.020041270664432353
cat__niveau_education_2,0.017741219407320895
cat__domaine_etude_Marketing,0.013884273890467784
cat__poste_Représentant Commercial,0.011945090795334765
cat__poste_Manager,0.011357300583477805
cat__departement_Ressources Humaines,0.00760477188815502
cat__niveau_education_4,0.007302844453314806
cat__domaine_etude_Autre,0.0059212588319572995
cat__poste_Ressources Humaines,0.0052295335457274135
cat__niveau_education_3,0.004091298474346689
cat__domaine_etude_Ressources Humaines,0.00387737752362643
cat__niveau_education_5,0.0016216502049312452
cat__niveau_education_1,0.0006159406836658325
cat__frequence_deplacement_Occasionnel,1.5336677430313824e-05
num__nombre_employee_sous_responsabilite,0.0
